ID,RootVolume,Genotype,Stage,FolderName,PlantNumber,ImagePaths_L,ImagePaths_R,Layers_L,Layers_R
ID_103784_Oslxv3,1.4,IITA-TMS-IBA000070,Early,Zbjyzgqwtu,7,"['/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_022.png', '/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_023.png', '/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_024.png', '/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_025.png', '/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_026.png', '/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_027.png', '/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_028.png', '/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_029.png', '/Users/yuvenblowria/MLPR/data/Zbjyzgqwtu/Zbjyzgqwtu_L_030.png']",[],"[22, 23, 24, 25, 26, 27, 28, 29, 30]",[]
ID_105069_Ivzzqa,2.1,TMEB693,Early,Jtcfkuovxk,5,"['/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_018.png', '/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_019.png', '/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_020.png', '/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_021.png', '/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_022.png', '/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_023.png', '/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_024.png', '/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_025.png', '/Users/yuvenblowria/MLPR/data/Jtcfkuovxk/Jtcfkuovxk_L_026.png']",[],"[18, 19, 20, 21, 22, 23, 24, 25, 26]",[]
ID_106896_Zl2dzl,1.5,TMEB419,Early,Pucqtyga9u,6,[],"['/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_037.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_038.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_039.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_040.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_041.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_042.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_043.png']",[],"[37, 38, 39, 40, 41, 42, 43]"
ID_108603_Ymh5st,2.9,TMEB693,Early,Oipmzygepq,1,[],"['/Users/yuvenblowria/MLPR/data/Oipmzygepq/Oipmzygepq_R_032.png', '/Users/yuvenblowria/MLPR/data/Oipmzygepq/Oipmzygepq_R_033.png', '/Users/yuvenblowria/MLPR/data/Oipmzygepq/Oipmzygepq_R_034.png', '/Users/yuvenblowria/MLPR/data/Oipmzygepq/Oipmzygepq_R_035.png', '/Users/yuvenblowria/MLPR/data/Oipmzygepq/Oipmzygepq_R_036.png', '/Users/yuvenblowria/MLPR/data/Oipmzygepq/Oipmzygepq_R_037.png', '/Users/yuvenblowria/MLPR/data/Oipmzygepq/Oipmzygepq_R_038.png', '/Users/yuvenblowria/MLPR/data/Oipmzygepq/Oipmzygepq_R_039.png']",[],"[32, 33, 34, 35, 36, 37, 38, 39]"
ID_116605_Dky8vk,2.7,IBA980581,Early,Mylwjeq6tq,4,"['/Users/yuvenblowria/MLPR/data/Mylwjeq6tq/Mylwjeq6tq_L_028.png', '/Users/yuvenblowria/MLPR/data/Mylwjeq6tq/Mylwjeq6tq_L_029.png', '/Users/yuvenblowria/MLPR/data/Mylwjeq6tq/Mylwjeq6tq_L_030.png', '/Users/yuvenblowria/MLPR/data/Mylwjeq6tq/Mylwjeq6tq_L_031.png', '/Users/yuvenblowria/MLPR/data/Mylwjeq6tq/Mylwjeq6tq_L_032.png', '/Users/yuvenblowria/MLPR/data/Mylwjeq6tq/Mylwjeq6tq_L_033.png', '/Users/yuvenblowria/MLPR/data/Mylwjeq6tq/Mylwjeq6tq_L_034.png']",[],"[28, 29, 30, 31, 32, 33, 34]",[]
ID_117194_Z3xwja,3.8,IBA154810,Early,Xrrcqvdbkw,4,[],"['/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_027.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_028.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_029.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_030.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_031.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_032.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_033.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_034.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_035.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_036.png']",[],"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
ID_122219_Xdopq7,3.5,TMEB419,Early,Sauopakhvn,5,"['/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_019.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_020.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_021.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_022.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_023.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_024.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_025.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_026.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_027.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_028.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_029.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_030.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_031.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_032.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_033.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_034.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_035.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_036.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_037.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_038.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_039.png', '/Users/yuvenblowria/MLPR/data/Sauopakhvn/Sauopakhvn_L_040.png']",[],"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",[]
ID_130988_Lor3j3,0.8,IBA154810,Early,B8x7mhxe6z,1,[],"['/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_020.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_021.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_022.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_023.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_024.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_025.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_026.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_027.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_028.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_029.png', '/Users/yuvenblowria/MLPR/data/B8x7mhxe6z/B8x7mhxe6z_R_030.png']",[],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
ID_134641_Koib9h,0.4,IBA980581,Early,Qinorm9cg3,2,"['/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_016.png', '/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_017.png', '/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_018.png', '/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_019.png', '/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_020.png', '/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_021.png', '/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_022.png', '/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_023.png', '/Users/yuvenblowria/MLPR/data/Qinorm9cg3/Qinorm9cg3_L_024.png']",[],"[16, 17, 18, 19, 20, 21, 22, 23, 24]",[]
ID_134905_Id9pcw,1.9,IITA-TMS-IBA000070,Early,Qhqftdiz4q,5,[],"['/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_049.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_050.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_051.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_052.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_053.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_054.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_055.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_056.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_057.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_058.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_059.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_060.png']",[],"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]"
ID_140116_E9j0px,1.5,DIXON,Early,Yznlv6wrsh,4,"['/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_030.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_031.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_032.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_033.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_034.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_035.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_036.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_037.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_038.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_039.png']",[],"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",[]
ID_140387_Y10vsb,0.9,IBA980581,Early,Q4uyruus4j,1,[],"['/Users/yuvenblowria/MLPR/data/Q4uyruus4j/Q4uyruus4j_R_027.png', '/Users/yuvenblowria/MLPR/data/Q4uyruus4j/Q4uyruus4j_R_028.png', '/Users/yuvenblowria/MLPR/data/Q4uyruus4j/Q4uyruus4j_R_029.png', '/Users/yuvenblowria/MLPR/data/Q4uyruus4j/Q4uyruus4j_R_030.png', '/Users/yuvenblowria/MLPR/data/Q4uyruus4j/Q4uyruus4j_R_031.png', '/Users/yuvenblowria/MLPR/data/Q4uyruus4j/Q4uyruus4j_R_032.png', '/Users/yuvenblowria/MLPR/data/Q4uyruus4j/Q4uyruus4j_R_033.png']",[],"[27, 28, 29, 30, 31, 32, 33]"
